,type,department,semester,section,gender,age,height,weight,bmi,bmi_type,fav_sport,act_level,meals,sleep,current_btype,goal,actual_current_btype,goal_suggested
86,Student,CSE,2nd,NONE,Male,19,1.7526,60,19.53375047266793,healthy,Football,high moderate,3,5,skinny,Get FIT,skinny,Get FIT
87,Student,ME,8th,A,Male,23,1.7272,60,20.112496972398787,healthy,Cricket,moderate,3,7,fit,Gain-weight,fit,Get FIT
88,Student,ME,6th,NONE,Male,21,1.7272,66,22.123746669638667,healthy,Cricket,high moderate,3,8,fit but also fat,Lose-Weight,fit,Get FIT
89,Faculty,ME,,NONE,Male,32,1.8288,89,26.610778530199035,over-weight,Cricket,moderate,4,8,fit but also fat,Get FIT,fit but also fat,Lose-Weight
90,Student,ME,6th,NONE,Male,20,1.8034,85,26.135739635097604,over-weight,Gym,very high,3,6,fit,Get FIT,fit but also fat,Lose-Weight
91,Student,ME,6th,NONE,Male,21,1.6764,67,23.840727203952113,healthy,Gym,high moderate,2,7,fit,Get FIT,fit,Get FIT
92,Student,ME,6th,NONE,Male,20,1.7018,54,18.645615370981243,healthy,Cricket,high moderate,2,7,fit,Get FIT,skinny,Get FIT
93,Student,ME,6th,NONE,Male,20,1.6256,48,18.164098828197655,healthy,Football,moderate,0,7,fit,Get FIT,skinny,Get FIT
94,Student,CSE,2nd,NONE,Male,17,1.8288,65,19.434838252392556,healthy,Cricket,very high,2,6,fit,Get FIT,skinny,Get FIT
95,Student,ME,8th,NONE,Male,21,1.7272,78,26.146246064118422,over-weight,Football,very high,3,6,fit but also fat,Lose-Weight,fit but also fat,Lose-Weight
96,Student,CE,,NONE,Male,18,1.524,56,24.111159333429775,over-weight,Cricket,very high,3,8,fit,Gain-weight,fit but also fat,Lose-Weight
97,Student,ME,6th,NONE,Male,21,1.6256,48,18.164098828197655,healthy,Volleyball,low,3,8,fit,Get FIT,skinny,Get FIT
98,Student,ECE,2nd,NONE,Female,19,1.6256,48,18.164098828197655,healthy,Gym,moderate,2,6,fit,Get FIT,skinny,Get FIT
99,Student,CSE,4th,NONE,Female,19,1.5494,40,16.662220908424615,underweight,Volleyball,moderate,4,7,skinny,Get FIT,weak,Gain-weight
100,Student,CSE,4th,NONE,Male,19,1.778,62,19.612284122527427,healthy,Football,very high,4,7,skinny,Gain-weight,skinny,Get FIT
